Suspect ID,Name,Description,Previous Convictions,Interview Date,Age Group,Crime Type,Arrested,Postcode
S1388,Barbara Johnson,"female, 5'8"", dark coat",27,2025-05-18,35-44,Theft from the person,No,N16 6NP
S1132,Donna Allen,"male, 5'11"", baseball cap",20,2025-07-26,35-44,Bicycle theft,Yes,NW10 8HX
S0003,Richard Campbell,"male, 5'8"", red jacket",11,2025-07-25,45-54,Theft from the person,Yes,N22 9LE
S1457,Richard Rodriguez,"male, 5'6"", grey sweater",4,2025-05-23,25-34,Theft from the person,No,TW10 6BW
S0086,Mia Williams,"female, 5'7"", red jacket",3,2025-06-08,45-54,Theft from the person,Yes,N15 3JG
S1092,Richard Martinez,"male, 5'5"", dark coat",4,2025-07-17,55+,Bicycle theft,Yes,KT7 0YE
S1083,Barbara Young,"female, 5'9"", baseball cap",9,2025-06-12,45-54,Bicycle theft,No,SE5 7PW
S0616,Michelle Hall,"male, 5'8"", blue jeans",13,2025-05-31,18-24,Bicycle theft,No,E6 9LE
S1093,Karen Garcia,"male, 6'0"", black hoodie",27,2025-07-17,18-24,Theft from the person,Yes,N7 8AF
S0649,Sarah Carter,"female, 5'10"", tracksuit",10,2025-07-18,25-34,Bicycle theft,Yes,HA5 1JD
S1280,Sharon Taylor,"female, 5'11"", blue jeans",14,2025-07-27,25-34,Bicycle theft,No,RM6 5QA
S0191,Steven Hill,"male, 5'6"", blue jeans",19,2025-05-13,35-44,Bicycle theft,Yes,SE16 9FT
S1434,Charlotte Garcia,"female, 6'2"", baseball cap",44,2025-06-11,18-24,Bicycle theft,Yes,UB4 9TY
S0256,Christopher Walker,"male, 5'7"", baseball cap",5,2025-07-07,45-54,Theft from the person,No,E16 1BF
S1443,Sandra Brown,"female, 5'10"", leather jacket",33,2025-06-28,55+,Theft from the person,No,WC2E 7HQ
S1244,Linda Roberts,"male, 5'10"", baseball cap",11,2025-05-06,25-34,Theft from the person,Yes,EC2P 2FH
S0703,John Clark,"male, 5'11"", baseball cap",17,2025-06-08,55+,Theft from the person,Yes,TW13 9BT
S0113,Evelyn White,"male, 6'2"", dark coat",12,2025-07-25,35-44,Bicycle theft,Yes,W8 5LQ
S0234,Donald Anderson,"female, 5'6"", grey sweater",15,2025-05-16,25-34,Bicycle theft,Yes,SE18 6GT
S0549,Thomas Rodriguez,"male, 5'11"", leather jacket",11,2025-05-25,25-34,Theft from the person,Yes,WC1R 5BP
S0042,Sophia Ramirez,"female, 6'2"", grey sweater",8,2025-06-24,18-24,Theft from the person,Yes,SW7 3BU
S0046,Ruth Lee,"female, 6'1"", baseball cap",1,2025-07-14,25-34,Bicycle theft,Yes,SE22 0NR
S1473,David Clark,"male, 5'10"", dark coat",47,2025-06-29,35-44,Bicycle theft,Yes,TW5 9BQ
S0073,Karen Garcia,"female, 6'2"", blue jeans",17,2025-06-26,45-54,Bicycle theft,Yes,IG8 1NT
S0851,Evelyn Anderson,"male, 5'9"", white t-shirt",5,2025-07-17,18-24,Theft from the person,No,SW19 8ES
S1274,Mark Lewis,"male, 6'1"", red jacket",8,2025-07-27,35-44,Theft from the person,Yes,SM1 2QB
S1414,Harper Green,"female, 5'6"", leather jacket",4,2025-07-24,35-44,Bicycle theft,No,SE12 8NN
S1319,Robert Roberts,"male, 5'11"", tracksuit",8,2025-05-20,25-34,Theft from the person,No,TW1 9FN
S0138,Joshua Rivera,"male, 6'1"", grey sweater",29,2025-06-29,45-54,Bicycle theft,No,NW4 3LE
S0035,Isabella Adams,"male, 5'6"", grey sweater",1,2025-05-19,55+,Theft from the person,Yes,NW1W 7YE
S0298,Jessica White,"female, 5'7"", dark coat",11,2025-06-27,25-34,Theft from the person,No,N22 4LG
S0564,Lisa Allen,"male, 6'1"", red jacket",10,2025-05-07,18-24,Bicycle theft,No,BR2 7NW
S0777,Donald Jackson,"female, 5'7"", tracksuit",6,2025-05-31,25-34,Bicycle theft,No,N17 7AP
S1500,Barbara Thompson,"female, 5'7"", dark coat",31,2025-06-13,35-44,Bicycle theft,Yes,EC2V 7HL
S1038,Michelle Rivera,"male, 5'6"", leather jacket",14,2025-06-25,55+,Bicycle theft,Yes,N21 2XH
